AffyID;logFC;AveExpr;t;P.Value;adj.P.Val;B
10470175;5,707416362;7,364107134;33,67412173;1,19E-10;6,64E-07;14,45337444
10351443;5,77982467;9,600246223;32,83020657;1,49E-10;6,64E-07;14,29288066
10403796;5,654198081;8,316619739;30,96316889;2,50E-10;6,78E-07;13,91218954
10522388;5,531317918;8,431706706;29,77233579;3,52E-10;6,78E-07;13,64930004
10469358;-5,371210106;7,747742752;-29,50176441;3,82E-10;6,78E-07;13,58722211
10531869;5,751975579;8,785049327;28,49706694;5,17E-10;7,00E-07;13,34867085
10400926;5,281277208;9,126885567;28,24736083;5,58E-10;7,00E-07;13,28734559
10499189;-4,973245501;7,916680639;-27,86125176;6,30E-10;7,00E-07;13,19086347
10474524;-4,381299731;6,240780237;-27,44032221;7,20E-10;7,00E-07;13,0833286
10455942;5,008942525;7,937347673;26,69543725;9,16E-10;7,00E-07;12,88679448
10482772;4,714249428;10,32745668;26,67458275;9,22E-10;7,00E-07;12,8811741
10464370;5,24393064;8,404644881;26,60026365;9,45E-10;7,00E-07;12,86109142
10382341;4,762246644;8,900927496;25,26261226;1,48E-09;9,39E-07;12,48486964
10362372;4,518311619;7,649243984;25,17827487;1,53E-09;9,39E-07;12,4601768
10345791;-4,246415165;8,080635315;-24,94823096;1,66E-09;9,39E-07;12,39221201
10497713;4,665920094;8,440159563;24,8900286;1,69E-09;9,39E-07;12,37487345
10517513;-4,246504806;7,901450121;-24,46282792;1,97E-09;1,03E-06;12,24580863
10466200;-5,231155908;7,838982653;-23,9419475;2,37E-09;1,17E-06;12,08403923
10469816;-4,193489046;8,740583624;-23,6413874;2,65E-09;1,24E-06;11,98842126
10540401;5,927466215;8,761880714;23,27626106;3,03E-09;1,28E-06;11,86995398
10477986;4,371369516;10,41948687;23,27590034;3,03E-09;1,28E-06;11,86983567
10386211;4,192004841;7,719045091;23,05369707;3,30E-09;1,33E-06;11,79646988
10560919;5,081347848;9,024854302;22,62851905;3,88E-09;1,46E-06;11,65333666
10585484;4,159476571;7,356737934;22,58068644;3,95E-09;1,46E-06;11,63700378
10363082;-3,960863437;7,761936928;-21,65245122;5,69E-09;2,02E-06;11,31046314
10569370;5,924715842;8,96414504;21,30107251;6,56E-09;2,18E-06;11,18191644
10563597;3,451611494;11,26521641;21,16840041;6,93E-09;2,18E-06;11,13264687
10446965;-3,587541887;6,954619183;-21,14252641;7,00E-09;2,18E-06;11,12299067
10476633;4,911022521;8,846360103;21,09988609;7,13E-09;2,18E-06;11,10704324
10547657;-5,010489254;8,957911997;-20,73907118;8,28E-09;2,45E-06;10,97038116
10513467;7,118954645;7,537205707;20,638981;8,64E-09;2,48E-06;10,93191876
10606835;5,329440554;8,949562266;20,29529845;9,99E-09;2,74E-06;10,79798011
10573979;3,595977429;9,913007648;20,19425467;1,04E-08;2,74E-06;10,75804212
10602896;-3,775622651;8,224484935;-20,18049353;1,05E-08;2,74E-06;10,75258303
10606868;6,257115389;7,829758452;19,9770021;1,15E-08;2,91E-06;10,67129397
10505489;-3,407961366;8,349189271;-19,83454445;1,22E-08;2,94E-06;10,61375144
10356177;3,779791131;9,509754226;19,82534128;1,22E-08;2,94E-06;10,61001586
10377938;4,120024299;10,17249286;19,75409795;1,26E-08;2,95E-06;10,58102299
10431625;4,482128224;7,861844172;19,64183375;1,33E-08;3,03E-06;10,53506491
10517517;-3,24292586;7,864018538;-19,53735335;1,39E-08;3,09E-06;10,49199223
10513455;7,34717145;7,63797989;19,36965004;1,50E-08;3,20E-06;10,42224149
10558400;3,538575001;6,969169161;19,31642222;1,53E-08;3,20E-06;10,39994334
10412066;4,937792564;7,128491289;19,24398258;1,58E-08;3,20E-06;10,36947221
10408359;4,179920025;7,665694463;19,22936718;1,60E-08;3,20E-06;10,36330685
10513420;7,41520684;7,701628019;19,16682967;1,64E-08;3,20E-06;10,33685928
10494271;-4,275160001;8,936210856;-19,14666584;1,66E-08;3,20E-06;10,32830872
10450325;3,769908921;9,495137807;18,81879368;1,92E-08;3,57E-06;10,18766975
10465820;5,058968862;8,768163419;18,81006502;1,93E-08;3,57E-06;10,1838839
10593756;4,77738848;7,863801499;18,76824673;1,97E-08;3,57E-06;10,16571581
10584024;3,952270801;8,892995977;18,64573957;2,08E-08;3,70E-06;10,11220123
10409876;-4,466213182;7,201095648;-18,50402051;2,22E-08;3,88E-06;10,04974789
10601903;3,389771713;8,225257755;18,43076956;2,30E-08;3,94E-06;10,0172351
10426425;3,434868777;7,242985904;18,37370929;2,37E-08;3,97E-06;9,991798008
10351679;-3,434501426;6,54304395;-18,1909285;2,58E-08;4,08E-06;9,909656772
10553430;3,892881796;8,011211904;18,18521464;2,59E-08;4,08E-06;9,907072663
10597323;3,221694305;7,377124943;18,01634763;2,80E-08;4,30E-06;9,830250528
10536334;4,086635792;7,564060478;17,79481979;3,12E-08;4,70E-06;9,728129564
10363070;-4,120252319;7,600258564;-17,64603616;3,35E-08;4,97E-06;9,658672505
10483228;4,131127986;6,903065188;17,55909489;3,50E-08;5,04E-06;9,617756963
10532180;3,35915033;8,46169357;17,53454139;3,54E-08;5,04E-06;9,606157553
10540085;-3,359149715;9,376635851;-17,51611444;3,57E-08;5,04E-06;9,597439544
10452316;3,584034765;10,53371006;17,18335546;4,22E-08;5,71E-06;9,438086095
10513437;7,09278831;7,60661374;17,17832357;4,23E-08;5,71E-06;9,435648117
10510260;3,709782225;8,895832297;17,17114131;4,24E-08;5,71E-06;9,432166794
10548940;3,585648357;8,044759426;17,0698864;4,46E-08;5,89E-06;9,382901945
10416175;3,709874106;7,840880714;17,05120824;4,51E-08;5,89E-06;9,373776212
10461878;3,331286531;9,802511306;17,00887649;4,60E-08;5,93E-06;9,353049802
10417628;4,98050091;7,264930447;16,85254846;4,98E-08;6,26E-06;9,275974992
10460947;4,001246347;8,158055266;16,8335967;5,03E-08;6,26E-06;9,266573643
10427744;-3,145457763;9,010928321;-16,81765261;5,07E-08;6,26E-06;9,25865461
10588592;3,950473831;8,225073582;16,71348095;5,35E-08;6,36E-06;9,206696037
10476628;4,312923767;10,18778825;16,70349684;5,38E-08;6,36E-06;9,201696133
10410995;4,018047433;7,27833656;16,68150475;5,44E-08;6,36E-06;9,190670377
10476512;5,258142868;8,721998902;16,64210212;5,55E-08;6,41E-06;9,170872977
10421100;4,172525123;8,516747233;16,60190539;5,67E-08;6,46E-06;9,150619722
10555389;3,034677353;9,624748078;16,57585303;5,75E-08;6,47E-06;9,137462369
10501754;3,65922843;8,066616439;16,4343127;6,19E-08;6,79E-06;9,065553313
10385391;3,637510046;8,570723932;16,41110507;6,26E-08;6,79E-06;9,053693607
10466210;-3,290700371;7,112463696;-16,20339162;6,99E-08;7,33E-06;8,94666774
10542164;-3,055732385;6,725296746;-16,09456488;7,40E-08;7,65E-06;8,889955236
10530499;3,313984604;7,949864657;16,00689105;7,76E-08;7,84E-06;8,843942065
10565152;4,089901924;7,912414533;15,93834137;8,05E-08;7,96E-06;8,807762372
10469672;5,152612522;8,322686994;15,93567087;8,06E-08;7,96E-06;8,806349286
10495675;-3,112572755;8,299328248;-15,85780042;8,41E-08;8,21E-06;8,765023955
