"";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"10470175";5,7074163621923;7,36410713413537;33,6741217306259;1,19481652783426e-10;6,63680115074261e-07;14,4533744368852
"10351443";5,77982467029576;9,60024622268186;32,830206565967;1,49326159314717e-10;6,63680115074261e-07;14,2928806569016
"10403796";5,65419808129966;8,31661973892181;30,9631688945835;2,49679259410327e-10;6,78342905952098e-07;13,9121895372637
"10522388";5,53131791825052;8,43170670610143;29,7723357863627;3,52207932164882e-10;6,78342905952098e-07;13,6493000422022
"10469358";-5,37121010565815;7,74774275246231;-29,5017644090568;3,81563115059117e-10;6,78342905952098e-07;13,5872221121894
"10531869";5,75197557937797;8,78504932702866;28,4970669410632;5,16967128796403e-10;6,99948014370999e-07;13,3486708545118
"10400926";5,28127720769015;9,12688556655158;28,2473608251108;5,58408287911263e-10;6,99948014370999e-07;13,287345586433
"10499189";-4,97324550147935;7,91668063869214;-27,8612517556056;6,29955284702412e-10;6,99948014370999e-07;13,1908634713582
"10474524";-4,38129973108112;6,24078023717365;-27,440322206075;7,19789312785302e-10;6,99948014370999e-07;13,0833286032737
"10455942";5,00894252486602;7,93734767322478;26,6954372511455;9,15845203675949e-10;6,99948014370999e-07;12,886794482569
"10482772";4,71424942832294;10,3274566841295;26,6745827493608;9,22129551256933e-10;6,99948014370999e-07;12,8811741012809
"10464370";5,2439306399871;8,40464488084013;26,6002636463752;9,4491800792575e-10;6,99948014370999e-07;12,8610914246325
"10382341";4,76224664399545;8,90092749608024;25,2626122626315;1,4836639199403e-09;9,38532571465948e-07;12,4848696435692
"10362372";4,51831161875096;7,64924398384523;25,1782748718761;1,52765926378071e-09;9,38532571465948e-07;12,4601767999538
"10345791";-4,24641516506251;8,08063531531962;-24,9482309602109;1,65521726836875e-09;9,38532571465948e-07;12,3922120088422
"10497713";4,66592009360928;8,44015956306173;24,8900285987186;1,68933751191981e-09;9,38532571465948e-07;12,3748734549626
