"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"204667_at"	-3.03834375487291	8.65115658718476	-17.6566324731119	6.38114170306156e-11	1.42190980569321e-06	13.6103497741997
"215729_s_at"	3.45228996479382	6.13759460387285	13.6709451713641	1.86649325824534e-09	2.07955346367404e-05	11.2149629138598
"202579_x_at"	1.29397489061353	10.2261640427615	12.2657009271729	7.57265435279128e-09	5.24357346924722e-05	10.1152520146767
"209787_s_at"	2.02311336905149	9.87129818602029	12.0588823887422	9.41268854148403e-09	5.24357346924722e-05	9.93947181621387
"214243_s_at"	-5.01512978359732	9.2789799955831	-11.4753922794586	1.7689100741919e-08	6.75297517170472e-05	9.42250684499609
"220192_x_at"	-3.01631488848622	9.5218828479889	-11.4504496349187	1.81833016336348e-08	6.75297517170472e-05	9.39969223031623
"211621_at"	-2.30874564879414	7.27166495351072	-10.8208153484914	3.70712841372493e-08	0.000118008489204332	8.80333792947299
"214451_at"	-5.66505881639779	7.43282304943528	-10.1641823897081	8.08040136264369e-08	0.000225069479454737	8.13723890959938
"204061_at"	1.76796526884358	7.68545651806165	9.69345365373884	1.44772477625726e-07	0.000358440568770451	7.62995513825214
"205961_s_at"	1.69960240151842	7.91375344687102	9.46630830782505	1.93313131809855e-07	0.000402678896010482	7.37579437684189
"218847_at"	1.46474586476111	7.03004895548763	9.39400925533197	2.121810416049e-07	0.000402678896010482	7.29357743692568
"209337_at"	2.4830768123574	8.42616715717158	9.37715870294715	2.16853509497185e-07	0.000402678896010482	7.27432271465215
"211110_s_at"	-2.60376920121367	7.70802817236694	-9.23686667747361	2.60268301078586e-07	0.00044611988868724	7.11264308405383
"217284_x_at"	-4.31311635906941	9.13330724566698	-9.06788524099314	3.25141940349506e-07	0.00051750984691486	6.91460951283237
"217528_at"	-5.62208628852142	6.76310069182024	-9.0023552598864	3.54739138712292e-07	0.000526976815195067	6.83683206446409
"206165_s_at"	-5.50080305757547	8.15249712846581	-8.92343705472624	3.94223248769135e-07	0.000549029790770165	6.74242785908011
"209506_s_at"	-1.19133120100719	7.08979768834719	-8.72092611450917	5.18449970780856e-07	0.000648118003725057	6.49645080980296
"217276_x_at"	-4.10566649255996	8.85410249573978	-8.71375953454254	5.2354369102235e-07	0.000648118003725057	6.48764671966165
"209786_at"	2.30898845696249	9.81043750131007	8.58605793637683	6.23782368129984e-07	0.000656620691513881	6.329614438543
"221505_at"	2.65138931558986	9.67358521059631	8.57200097182952	6.35999136259658e-07	0.000656620691513881	6.31208481435311
"202401_s_at"	0.787307127915102	8.21888496934312	8.56773577322361	6.39755912066119e-07	0.000656620691513881	6.30676065273165
"205044_at"	5.62620635762163	8.42325372276683	8.55670662764858	6.49579776874595e-07	0.000656620691513881	6.29298178337955
"218211_s_at"	-2.68228350962269	10.9327692345868	-8.5112853870442	6.91753675098078e-07	0.000656620691513881	6.23606259829987
"219736_at"	-2.4152042989447	7.04315333910413	-8.495363299892	7.0721611077203e-07	0.000656620691513881	6.21604362859878
"214404_x_at"	-1.72789538391149	9.58185487193989	-8.38458098161851	8.2547053022356e-07	0.000713171564615878	6.07579683213741
"213298_at"	-1.12476637680003	7.71412431828427	-8.37884733384261	8.32134841808231e-07	0.000713171564615878	6.06849236084248
"204980_at"	-0.663465129740125	8.80240451594526	-8.33692071328833	8.82632506440131e-07	0.000728433338555757	6.01494137921005
"202672_s_at"	1.26693701657973	8.27831167668791	8.27505123141224	9.63161574400506e-07	0.000743760586532589	5.93547349834231
"202854_at"	1.9175047231788	10.1376019526489	8.27153916894732	9.67960194293636e-07	0.000743760586532589	5.93094649088093
"208763_s_at"	-1.18475458240168	10.4757445208562	-8.05996792975671	1.30932871600444e-06	0.000972525725957562	5.65504235136587
"201087_at"	-0.830659271934866	8.72178844768891	-7.96988161481118	1.4914740618891e-06	0.00107208117809919	5.5356390693501
"213441_x_at"	-1.11000851709718	10.1218017139578	-7.84648653850516	1.7856370455338e-06	0.00122330590729802	5.37019757006028
"204060_s_at"	1.98691214297111	7.48666574094548	7.83662596154445	1.81165439756023e-06	0.00122330590729802	5.35688215073282
"208855_s_at"	0.916439018590935	11.9056415738412	7.73040683892693	2.11874266229932e-06	0.00134179343340444	5.21255055805747
"207039_at"	2.7085234378968	7.34381046836941	7.72256234716013	2.1435048047706e-06	0.00134179343340444	5.20182609404985
"217021_at"	-0.626012014544357	5.08584446936698	-7.71496561735268	2.16777649340573e-06	0.00134179343340444	5.19143176496833
"204030_s_at"	2.01998885601837	7.40802380586032	7.63985695026664	2.42398967200746e-06	0.0014598314016579	5.08820735806979
"211682_x_at"	-4.31440189911947	8.57563671253186	-7.5705423738311	2.6889167513003e-06	0.00152190402292267	4.99220817834072
"200961_at"	-1.32276382595293	10.7736008226479	-7.55484734754205	2.75304885185698e-06	0.00152190402292267	4.97037215838791
"221510_s_at"	1.79097649790516	8.7542815588311	7.54558309345964	2.79166035831646e-06	0.00152190402292267	4.95746592338537
"204942_s_at"	-3.78583830303145	9.30924952152222	-7.54268341185762	2.80386282154503e-06	0.00152190402292267	4.95342369471779
"212218_s_at"	-2.20170899040173	9.49032008804111	-7.52753028885058	2.86855311056645e-06	0.00152190402292267	4.93227953745054
"206509_at"	-5.58104713359395	10.1868139102831	-7.47596017263472	3.10078112372063e-06	0.0016068536227876	4.86006422948095
"219734_at"	-2.34714549454028	7.32843618910721	-7.43295431948027	3.30961502687711e-06	0.00167609435554324	4.79953818251885
"212458_at"	-1.78483958811244	8.57254372011439	-7.34893343527754	3.76163991462654e-06	0.00186268049372496	4.68048795565191
"219303_at"	1.31658341325905	7.93721814834071	7.3034492350733	4.03311667217005e-06	0.00195369432186881	4.61559752019543
