"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"205009_at"	4.7350496224473	8.69247769304976	10.0653887224861	9.11637613457023e-08	0.0013476353061832	7.41704908786939
"205862_at"	3.95856267274602	6.0828354590275	9.66714929440008	1.4966266345689e-07	0.0013476353061832	7.04150341752236
"205225_at"	3.96493867506738	9.30054557434598	9.51577888430299	1.81434542860009e-07	0.0013476353061832	6.8937037379021
"209443_at"	2.19839158119141	7.58622560370509	9.27506284201708	2.47602606569274e-07	0.00137126409678345	6.65273168285393
"209787_s_at"	1.52830594882846	9.87129818602029	9.1095545968232	3.07692881744705e-07	0.00137126409678345	6.48271842815754
"214243_s_at"	-3.85760046303706	9.2789799955831	-8.826786241017	4.49029593486518e-07	0.00166762107194335	6.18385309076089
"202579_x_at"	0.904498482322957	10.2261640427615	8.57382005920911	6.34404005383378e-07	0.00201948920742255	5.90724461028005
"206754_s_at"	2.24135498114867	8.23569228298979	8.00864338395451	1.41001654607591e-06	0.00356110130493934	5.25632338988639
"201093_x_at"	-0.880829631891118	10.2756225918625	-7.95707615497081	1.51946656140222e-06	0.00356110130493934	5.19459389811438
"212982_at"	1.22507668833023	8.30122929825354	7.87677838149973	1.70815289593198e-06	0.00356110130493934	5.09767391488165
"212208_at"	0.662506011896904	8.74332659552566	7.85715313844164	1.75793718773651e-06	0.00356110130493934	5.0738375416299
"205696_s_at"	2.33378493684471	6.23987560333499	7.76101174986468	2.02498723881312e-06	0.00376023255353939	4.95621767662889
"219197_s_at"	1.51461355496022	8.01480201696556	7.69038494396644	2.24832242521633e-06	0.00385379758469966	4.86890883855943
"209506_s_at"	-1.02738400011053	7.08979768834719	-7.52078007242482	2.89787619348999e-06	0.00461238394425268	4.65608390281114
"209799_at"	-1.87583458245411	6.09087151252176	-7.26882033932425	4.25362991988947e-06	0.00608207941727037	4.3315590685182
"203740_at"	-1.71380764601636	10.9084391325635	-7.18832371603709	4.81684703693655e-06	0.00608207941727037	4.22574336169317
"203060_s_at"	-2.98973499942438	9.58752407585848	-7.18310653097383	4.85596583067028e-06	0.00608207941727037	4.21884917747423
"203058_s_at"	-2.93189743815442	8.99179642765637	-7.14581438347629	5.14552654749892e-06	0.00608207941727037	4.16944190016669
"201236_s_at"	1.33755737901661	10.0865956221754	7.14077948271433	5.18599420760836e-06	0.00608207941727037	4.16275407530451
"217528_at"	-4.42925390319951	6.76310069182024	-7.09233461148585	5.59295660042199e-06	0.00623139259636016	4.09819513499418
"217276_x_at"	-3.3258544384889	8.85410249573978	-7.05870675964557	5.89515290873533e-06	0.00625531867930235	4.05315765174511
"217284_x_at"	-3.3321495914829	9.13330724566698	-7.00550311791457	6.4089267993229e-06	0.00649136890315055	3.98152621493631
"208855_s_at"	0.81661137428423	11.9056415738412	6.88833411111025	7.71406504434792e-06	0.00747358745144368	3.82214106756062
"202641_at"	1.1891724148009	9.38960887535031	6.84323799361778	8.28853993165233e-06	0.00757779839618347	3.76019549537025
"206827_s_at"	-1.60786500822124	7.67672231408902	-6.82733162666091	8.50177085242502e-06	0.00757779839618347	3.73826596127772
"209337_at"	1.78481914546284	8.42616715717158	6.74023948827187	9.77624281073406e-06	0.00820228040563955	3.6174536114841
"206165_s_at"	-4.14867862800038	8.15249712846581	-6.7300123654248	9.93858865288641e-06	0.00820228040563955	3.60318432828895
"221505_at"	2.07314931813557	9.67358521059631	6.70253812418801	1.03889191790803e-05	0.00826772450240878	3.56476522179588
"212207_at"	0.699470042364402	7.44807910598866	6.6391374594471	1.15120386854226e-05	0.00866821153736345	3.47562884230972
"205961_s_at"	1.19049750760085	7.91375344687102	6.63073695152389	1.16701676668718e-05	0.00866821153736345	3.46376817723664
"214451_at"	-3.67508836904281	7.43282304943528	-6.59380064565657	1.23930364496093e-05	0.00890819455505304	3.41147826282554
"209786_at"	1.7577937151087	9.81043750131007	6.5364201508295	1.36108567722635e-05	0.00947783504551083	3.3297942253705
"209603_at"	2.451411811711	8.58425415384381	6.44371641098692	1.58513593069176e-05	0.0107035102859408	3.19666197394155
"206164_at"	-3.27323736059914	7.0121679534061	-6.2846893740261	2.06438853940287e-05	0.0132936540046837	2.96492496723047
"222021_x_at"	-0.737152124919255	10.1703644255101	-6.27787852274612	2.08803971711138e-05	0.0132936540046837	2.95490518424797
"203627_at"	1.03938289210008	7.17722038491357	6.14226647977309	2.62316775124613e-05	0.016003779669359	2.75377536985044
"200972_at"	1.09747360981453	10.5507979606466	6.13461378029502	2.6573614314333e-05	0.016003779669359	2.74233324618594
"201701_s_at"	-1.0519666672828	9.41473247272547	-6.11289500299968	2.75697388873368e-05	0.0161667497796454	2.70980623909651
"211682_x_at"	-3.47084938099243	8.57563671253186	-6.09034877287426	2.86453168557256e-05	0.0163667588588752	2.67595609832669
"217930_s_at"	-0.461202450381226	7.74638845727727	-5.92934051109306	3.77258301539872e-05	0.0210161168330324	2.43174174155284
"210976_s_at"	1.10948911450699	9.77036822555116	5.86394941675292	4.22330708014673e-05	0.0222623068062447	2.33131685243563
"217021_at"	-0.475617815109724	5.08584446936698	-5.86150905305337	4.24118111500315e-05	0.0222623068062447	2.32755520413499
"211621_at"	-1.24825392397083	7.27166495351072	-5.85041718492157	4.32342470289282e-05	0.0222623068062447	2.31044533633986
"57715_at"	0.888483929385198	8.31567701794418	5.837562370936	4.42083168884258e-05	0.0222623068062447	2.29059031904528
"206166_s_at"	-3.98432231138109	7.47631152702823	-5.82448937207795	4.52224923297564e-05	0.0222623068062447	2.27037001941424
"203685_at"	2.05737833203953	8.18809326859651	5.8152078947844	4.59572819228674e-05	0.0222623068062447	2.25599684791644
"211110_s_at"	-1.61994097143849	7.70802817236694	-5.74673775677961	5.17788880803118e-05	0.0244289551292302	2.14952163496654
"212209_at"	0.94451651628088	8.0839395503184	5.72892238804839	5.34166202116293e-05	0.0244289551292302	2.12168989034489
"205306_x_at"	-2.69622004935728	8.91943132558654	-5.72569638118856	5.37189248006228e-05	0.0244289551292302	2.11664448642576
"221096_s_at"	0.507129330067485	7.46585543616429	5.68579891179095	5.7609001485153e-05	0.0252201937685224	2.05410316387567
"219736_at"	-1.61613550061893	7.04315333910413	-5.68467778299738	5.77224737330988e-05	0.0252201937685224	2.0523419306918
"204669_s_at"	-1.02221395309116	9.00138547871823	-5.6449030882716	6.19030598989893e-05	0.0265266516101765	1.98972364015887
"211138_s_at"	-2.77831139904083	9.15960625921655	-5.62499825357934	6.41127762736983e-05	0.026955188560506	1.95828898013473
"209258_s_at"	0.897697723747841	7.04355150772403	5.56491923300773	7.12958653830466e-05	0.0287440550321586	1.86301427269926
"212554_at"	1.19125567070501	7.86548530492213	5.55983293068623	7.19413741959409e-05	0.0287440550321586	1.85492111467267
"208615_s_at"	0.879377808021915	7.23384804187231	5.5575159113302	7.22374492573208e-05	0.0287440550321586	1.85123294539373
"202786_at"	1.90959870724471	7.79571342969182	5.49765213737316	8.03446478995376e-05	0.031409119107814	1.75563944350514
"209604_s_at"	1.92788601834367	10.7464043783828	5.43714584977217	8.95082504401804e-05	0.034388143871699	1.65842780695589
"210513_s_at"	-1.21004186834373	7.78073167937902	-5.39941048644076	9.576921209923e-05	0.036169921240799	1.59750119500577
"204408_at"	-0.641567650910634	8.47399275988196	-5.35517190554144	0.000103694473823189	0.0379120846938477	1.52578334426927
