"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"204667_at"	2.9610419446725	8.65115658718476	17.2074108700508	8.99957911104094e-11	2.00537621331325e-06	12.2412989543403
"215729_s_at"	-3.744599288766	6.13759460387285	-14.8284796721895	6.44957567464789e-10	7.18579473790895e-06	11.0959766868871
"205009_at"	5.72932198114157	8.69247769304976	12.1789331590297	8.29307705143227e-09	6.15982119790218e-05	9.39962882547853
"209604_s_at"	3.67759626862109	10.7464043783828	10.3717891508181	6.28959924199952e-08	0.000350377849773688	7.89853215477242
"209603_at"	3.73479311991305	8.58425415384381	9.81717865739886	1.23943044452079e-07	0.000552364571905136	7.36830391505626
"209443_at"	2.26355643217122	7.58622560370509	9.54999479367643	1.73673729214847e-07	0.000625029948403659	7.09982598749433
"205225_at"	3.93927580626259	9.30054557434598	9.45418847771767	1.9634742354376e-07	0.000625029948403659	7.00140920275399
"205862_at"	3.77430319228764	6.0828354590275	9.21717185214218	2.67066060362063e-07	0.00074387912788098	6.7529433255464
"220192_x_at"	2.38721457266744	9.5218828479889	9.06227673258307	3.27569491719196e-07	0.000811025664886538	6.58664777566925
"218211_s_at"	2.8084080639582	10.9327692345868	8.91149739759871	4.00591703476475e-07	0.000892638492856629	6.42173065969399
"219197_s_at"	1.64979582741657	8.01480201696556	8.37676709694858	8.34566800125507e-07	0.00169060472792697	5.81187282104739
"218847_at"	-1.28197039126263	7.03004895548763	-8.22179601957556	1.03871160814269e-06	0.0019288008970203	5.62760813212909
"206754_s_at"	2.24208488228332	8.23569228298979	8.01125141255422	1.40470749300456e-06	0.00238813666195305	5.37167192748183
"200670_at"	2.27392213449323	10.8853569818718	7.96576063872498	1.5004224416525e-06	0.00238813666195305	5.31551521246911
"205696_s_at"	2.37782292727101	6.23987560333499	7.90746027463794	1.6332851694376e-06	0.00242629956203853	5.24309479890728
"204061_at"	-1.35863957246786	7.68545651806165	-7.44919029798992	3.22908084695942e-06	0.0044971005320498	4.65588495466578
"219956_at"	2.06797731040126	7.95526987196593	7.35453905336912	3.72954182459511e-06	0.00488855179279135	4.53056153920522
"212442_s_at"	1.41653352281062	9.56910493942887	7.30214215776299	4.04121715644488e-06	0.00500280232761451	4.46058023978638
"212446_s_at"	1.44473154474029	7.98520804485289	7.24648346335938	4.40258907696877e-06	0.00511633950838382	4.3857678257522
"205044_at"	-4.7467587331201	8.42325372276683	-7.21918453213427	4.59214603813115e-06	0.00511633950838382	4.34889523723738
"202672_s_at"	-1.08727486621426	8.27831167668791	-7.10158050700831	5.51276233630129e-06	0.00552274313013342	4.18869197683197
"215034_s_at"	-2.40062605285096	9.71092026764562	-7.08254503663024	5.67920817217906e-06	0.00552274313013342	4.16255364871671
"207039_at"	-2.48321397194901	7.34381046836941	-7.08015830743794	5.70044841327777e-06	0.00552274313013342	4.15927224442886
"218963_s_at"	-3.24291960820412	7.56668831286299	-6.98732720067036	6.59508684546601e-06	0.00596685104942867	4.03093325500771
"212771_at"	-1.50709003179418	8.50302574693328	-6.9778506592168	6.6943982513897e-06	0.00596685104942867	4.01775392051351
"209602_s_at"	4.09395383185628	8.7143364753511	6.8063132258078	8.79242618736298e-06	0.00742404951489673	3.77667944888493
"209459_s_at"	3.32539904416104	6.81467956844106	6.79204956679193	8.99561714770056e-06	0.00742404951489673	3.75641853015113
"213113_s_at"	-1.12736115431896	9.46059608818418	-6.63167743998609	1.16523511600144e-05	0.0092731907463786	3.52633094620297
"212181_s_at"	1.1040745582196	9.17366148014278	6.41513944968518	1.66176996116022e-05	0.0127686965670804	3.20896795695505
"209387_s_at"	-2.18748298868018	9.27626220627227	-6.3865886861989	1.74222900087996e-05	0.0127807061227302	3.16654716444477
"202401_s_at"	-0.5857497314528	8.21888496934312	-6.37432172323156	1.77804554954286e-05	0.0127807061227302	3.14827958373756
"212554_at"	1.35800764790885	7.86548530492213	6.33809838361478	1.8883926655429e-05	0.0131497043019664	3.09419198789776
"203637_s_at"	-2.57308502389812	7.5295201543422	-6.27799521640443	2.08763210444317e-05	0.0140965776313052	3.00396990317625
"221736_at"	0.761654609633771	9.30800384896268	6.19817526550199	2.38693902971325e-05	0.0154973691653563	2.88322843396124
"211034_s_at"	0.677185775678733	9.26252196413948	6.18654390729478	2.4341781662589e-05	0.0154973691653563	2.86554617005848
"204030_s_at"	-1.62531651278526	7.40802380586032	-6.14715552493754	2.60156434572461e-05	0.0161029606432726	2.80550113936341
"213110_s_at"	2.63765476492438	8.18648624360284	6.02563766058079	3.19836853595147e-05	0.0192619584017856	2.61864211068362
"201236_s_at"	1.12526198285532	10.0865956221754	6.00740409787832	3.29961845093746e-05	0.0193487889321683	2.59039423412621
"210652_s_at"	2.58128198861867	8.02049305161077	5.98786265052143	3.41186679220874e-05	0.0194940071104583	2.56005940095279
"218942_at"	0.881393087019987	9.91213532213144	5.88995082945312	4.03768531333516e-05	0.0210374012056332	2.40712262647292
"212208_at"	0.495792733077302	8.74332659552566	5.87997596815934	4.10786478527145e-05	0.0210374012056332	2.39145375306764
"221510_s_at"	-1.38633683983349	8.7542815588311	-5.84079122909954	4.39615116716021e-05	0.0210374012056332	2.32974324371726
"209460_at"	2.80830285480632	7.36673537745399	5.83840589775342	4.41437004241133e-05	0.0210374012056332	2.32597856793845
"203909_at"	-1.28384858883873	8.68365957271569	-5.82813167937448	4.49375074117707e-05	0.0210374012056332	2.30975253860773
"211352_s_at"	0.901817096684078	6.66653002946082	5.81635715392647	4.58656247450721e-05	0.0210374012056332	2.29113587328342
"202345_s_at"	-2.6972213818901	9.35852321286732	-5.81417262328616	4.60400122305419e-05	0.0210374012056332	2.28767942883551
"219497_s_at"	-1.54659023307587	6.82955419331802	-5.81079769801152	4.63107914839319e-05	0.0210374012056332	2.28233796685284
"203797_at"	-2.15249207902363	9.20977858683638	-5.79759270115695	4.73863754769808e-05	0.0210374012056332	2.26142068012671
"205503_at"	-0.49615970025526	5.43477043247971	-5.79271738064032	4.77900591547083e-05	0.0210374012056332	2.2536907719289
"209122_at"	-1.71263849509397	10.784317164818	-5.7824005751116	4.86562080586313e-05	0.0210374012056332	2.23732051536157
"205487_s_at"	-0.952116644611836	6.81104969959157	-5.77665318988414	4.91458350937643e-05	0.0210374012056332	2.22819329259973
"213134_x_at"	-1.42181417534039	9.65030589046951	-5.77190641492133	4.95541025765671e-05	0.0210374012056332	2.22065104718656
"218931_at"	0.899317598296302	8.30355970558683	5.75875723260492	5.07036791581967e-05	0.0210374012056332	2.19973889344655
"203453_at"	2.68877379744142	8.96255299025017	5.75562675240169	5.09814506621278e-05	0.0210374012056332	2.19475610383965
"209114_at"	1.35504206029801	8.45726429438257	5.73869261764567	5.25118651277869e-05	0.0212749434662268	2.1677743923902
"214858_at"	1.46159715560671	5.80280252358909	5.71199772796524	5.50226613470544e-05	0.0214510444223428	2.12514595729203
"204067_at"	0.796894325193131	8.98039768140687	5.70887026081522	5.53249206986563e-05	0.0214510444223428	2.12014421259549
"209167_at"	-1.77936316023898	8.54518144591105	-5.70363767976065	5.5834518534124e-05	0.0214510444223428	2.11177222246184
"205568_at"	-1.20891507042153	8.46004335553997	-5.62223639076232	6.44258281409415e-05	0.0242544614154384	1.98096204927176
"219734_at"	1.76815771837159	7.32843618910721	5.59941238447457	6.70747870608606e-05	0.0242544614154384	1.94409256935791
"203636_at"	-2.01182495470704	7.66323858615056	-5.59575170882109	6.75101162136143e-05	0.0242544614154384	1.93817139036934
"209900_s_at"	-1.698428181659	6.7052860322328	-5.59354079546636	6.77744667575974e-05	0.0242544614154384	1.93459417397738
"208979_at"	0.590694412361001	10.2505500240463	5.58690948037003	6.85738486367462e-05	0.0242544614154384	1.92386012471473
"204624_at"	1.76033228085131	8.40189574313817	5.55918676508322	7.20238154397249e-05	0.025076666866303	1.87890927904784
"204623_at"	4.54090693364604	9.74534727047231	5.5026188101001	7.96372533178127e-05	0.0273008756258588	1.78680648346381
"214746_s_at"	0.653736254991201	7.38563965057609	5.48023271144371	8.28779063933005e-05	0.0279813392145745	1.75021721585995
"204060_s_at"	-1.3850765839436	7.48666574094548	-5.46291246689388	8.54794330141318e-05	0.0284289284455806	1.72185337113678
"220559_at"	-1.70256851850153	5.5707031082488	-5.43225619315019	9.02948758601628e-05	0.0293170889908638	1.67153399665567
"209061_at"	0.799957019202198	8.70126387711529	5.42925490925021	9.07812745307902e-05	0.0293170889908638	1.66659970368919
"203513_at"	0.847704035503114	9.5410289120084	5.40413538733256	9.49608864160823e-05	0.030108270474936	1.62524610228403
"220239_at"	-1.37602031332478	7.25037978692418	-5.3976202163627	9.60773576996278e-05	0.030108270474936	1.6145041575124
"214404_x_at"	1.10685126880464	9.58185487193989	5.37097568771278	0.000100787588967983	0.030108270474936	1.57050453791388
"212207_at"	0.564582366203708	7.44807910598866	5.35882841205878	0.000103014234081392	0.030108270474936	1.55040821618076
"209386_at"	-1.74082271059619	11.3093092651988	-5.35673407023725	0.000103403285187506	0.030108270474936	1.54694103267039
"203554_x_at"	-1.18165567469566	10.7398344656248	-5.35458110166181	0.000103804822570041	0.030108270474936	1.54337607972554
"201489_at"	-0.984668374553793	10.6115242092144	-5.35323537454876	0.000104056630669434	0.030108270474936	1.54114741561173
"201650_at"	2.01440159868226	11.5211351297637	5.34915296033795	0.000104824418576036	0.030108270474936	1.53438478665844
"213441_x_at"	0.756297594498525	10.1218017139578	5.34615618072502	0.000105391782840955	0.030108270474936	1.52941888868868
"217979_at"	1.27594959970506	11.9161181910716	5.32360804140703	0.000109764598822942	0.0309605639945774	1.49201007836318
"213312_at"	-0.546675378911436	6.65986369084698	-5.21617015812823	0.000133350200306299	0.0369476998654934	1.3126858734434
"211421_s_at"	3.5791531101499	7.60579235089329	5.21223971947787	0.000134307036265537	0.0369476998654934	1.30609207073005
"204521_at"	-1.24832517666433	6.46195625667615	-5.18808558245544	0.000140346087952489	0.0381381936322599	1.26551897187017
"208615_s_at"	0.819725145667986	7.23384804187231	5.18052138501745	0.000142294824006421	0.0382018742570491	1.25279477679205
"205186_at"	1.51740722547344	6.54870648574318	5.17223785813553	0.000144461182691538	0.0383217682608992	1.23885063579783
"210130_s_at"	1.02769568588743	7.75143371346167	5.13166460006529	0.000155578354002723	0.0397736733234178	1.17040213597654
"209644_x_at"	-1.54411599935055	8.25722312620927	-5.13093450476697	0.000155786355686827	0.0397736733234178	1.16916817831628
"201231_s_at"	-0.835466394405961	12.2410867824229	-5.13005386728229	0.000156037630858084	0.0397736733234178	1.16767967839007
"203574_at"	-1.54729732234608	8.3416112136392	-5.12643672064496	0.000157074148564411	0.0397736733234178	1.16156457047073
"219570_at"	1.02171779741384	5.9228644152792	5.09630498989284	0.000165991581936047	0.0415594429245048	1.11054839819068
"221685_s_at"	-0.819970695351224	8.08785349639389	-5.05732687444179	0.000178313477625431	0.043899360006563	1.04435469209459
"202431_s_at"	-1.83081272010445	9.02107197102844	-5.04954013089961	0.000180886828211565	0.043899360006563	1.03110420219402
"221665_s_at"	0.709292955262859	7.74975891041311	5.0482091500747	0.000181330532402591	0.043899360006563	1.02883841773566
"218259_at"	0.923599051748578	9.54423445722663	5.03971453490561	0.000184189094849156	0.043899360006563	1.01437156225192
"202908_at"	1.20841868847271	8.39341891712702	5.03265837017946	0.000186599149222825	0.043899360006563	1.00234644790263
"213334_x_at"	-0.68969677627757	7.32084942418019	-5.03103600262388	0.000187157887206547	0.043899360006563	0.999580580746883
"218319_at"	-1.5120531594428	8.35667825407432	-5.0053213264838	0.000196249552357371	0.0454413500494527	0.955690121080241
"218758_s_at"	-0.556421745607004	8.51402048394577	-4.9923218373515	0.000201018866431318	0.0454413500494527	0.933465733047687
"203798_s_at"	-1.64318645604155	5.93684934463917	-4.99114687087229	0.000201455827875791	0.0454413500494527	0.93145576404295
"204703_at"	0.721692475803106	8.23900585262491	4.98273328222434	0.000204613709298169	0.0454413500494527	0.917057145350257
"211712_s_at"	2.08779405578265	6.75977037328921	4.98095537562035	0.000205287559278957	0.0454413500494527	0.914013213363339
"219434_at"	-1.05911374197613	8.66096757474746	-4.97916722328113	0.000205967614548971	0.0454413500494527	0.910951280503945
"211621_at"	1.06049172482331	7.27166495351072	4.97039816356983	0.000209336577096884	0.0456872745660402	0.895928969037394
"205548_s_at"	-1.2987209111471	9.37133084987338	-4.95630089357782	0.00021487285301245	0.0456872745660402	0.871755742403958
"214053_at"	1.93888628756306	7.75999871299503	4.95539727029108	0.000215232861343022	0.0456872745660402	0.870205287960483
"214240_at"	-1.49272919338146	6.98500134841604	-4.95433881022044	0.000215655352967046	0.0456872745660402	0.86838901305267
"203092_at"	-0.557100715127458	8.09262399737714	-4.95015473521766	0.000217333891486795	0.0456872745660402	0.861207741177593
"218902_at"	-0.992859655611585	7.51278527173875	-4.93132735397305	0.000225056228299994	0.0468684853757828	0.828862772589704
"212496_s_at"	0.866585639962924	10.0434321415201	4.91244750987208	0.000233086082724007	0.0477875241930552	0.796377132753232
"220441_at"	0.895277611353944	6.54193554103588	4.91089727134415	0.000233758476733071	0.0477875241930552	0.793707472284001
"212956_at"	2.05107548029795	10.2600074284045	4.88758282063349	0.000244116778910452	0.0492151224654676	0.753516929047257
"212492_s_at"	0.908941745871858	7.9676023955108	4.88122533032475	0.000247023042876838	0.0492151224654676	0.742544353989632
"201596_x_at"	2.04114450684792	11.9006367425368	4.88009973006993	0.00024754132332925	0.0492151224654676	0.740601059168241
"202265_at"	0.997878913038228	9.99859007001039	4.87570364605101	0.00024957630653852	0.0492151224654676	0.733009735783267
